No,Y,X4
252,13.8,0
253,52.7,9
254,25.9,2
255,51.8,5
256,17.4,1
257,26.5,1
258,43.9,1
259,63.3,6
260,28.8,0
261,30.7,4
262,24.4,3
263,53.0,5
264,31.7,3
265,40.6,7
266,38.1,4
267,23.7,3
268,41.1,5
269,40.1,5
270,23.0,0
271,117.5,1
272,26.5,8
273,40.5,5
274,29.3,1
275,41.0,7
276,49.7,7
277,34.0,5
278,27.7,3
279,44.0,6
280,31.1,3
281,45.4,6
282,44.8,9
283,25.6,1
284,23.5,2
285,34.4,7
286,55.3,3
287,56.3,9
288,32.9,5
289,51.0,6
290,44.5,5
291,37.0,0
292,54.4,7
293,24.5,5
294,42.5,7
295,38.1,6
296,21.8,3
297,34.1,4
298,28.5,4
299,16.7,0
300,46.1,10
301,36.9,4
302,35.7,0
303,23.2,3
304,38.4,0
305,29.4,3
306,55.0,5
307,50.2,1
308,24.7,0
309,53.0,5
310,19.1,0
311,24.7,2
312,42.2,4
313,78.0,9
314,42.8,5
315,41.6,6
316,27.3,2
317,42.0,7
318,37.5,2
319,49.8,10
320,26.9,5
321,18.6,0
322,37.7,4
323,33.1,1
324,42.5,6
325,31.3,2
326,38.1,8
327,62.1,7
328,36.7,3
329,23.6,3
330,19.2,0
331,12.8,0
332,15.6,0
333,39.6,2
334,38.4,5
335,22.8,5
336,36.5,6
337,35.6,2
338,30.9,5
339,36.3,9
340,50.4,5
341,42.9,0
342,37.0,2
343,53.5,9
344,46.6,8
345,41.2,0
346,37.9,0
347,30.8,2
348,11.2,1
349,53.7,6
350,47.0,5
351,42.3,5
352,28.6,3
353,25.7,3
354,31.3,3
355,30.1,1
356,60.7,5
357,45.3,1
358,44.9,9
359,45.1,6
360,24.7,0
361,47.1,10
362,63.3,8
363,40.0,4
364,48.0,10
365,33.1,7
366,29.5,4
367,24.8,1
368,20.9,2
369,43.1,1
370,22.8,3
371,42.1,5
372,51.7,5
373,41.5,7
374,52.2,1
375,49.5,5
376,23.8,0
377,30.5,2
378,56.8,8
379,37.4,8
380,69.7,6
381,53.3,5
382,47.3,9
383,29.3,0
384,40.3,4
385,12.9,0
386,46.6,10
387,55.3,0
388,25.6,3
389,27.3,4
390,67.7,8
391,38.6,9
392,31.3,1
393,35.3,6
394,40.3,4
395,24.7,1
396,42.5,4
397,31.9,1
398,32.2,4
399,23.0,2
400,37.3,1
401,35.5,5
402,27.7,3
403,28.5,1
404,39.7,9
405,41.2,5
406,37.2,6
407,40.5,7
408,22.3,0
409,28.1,3
410,15.4,0
411,50.0,9
412,40.6,7
413,52.5,5
414,63.9,9
